"model","forecast_date","location","horizon","temporal_resolution","target_variable","target_end_date","type","quantile","value","location_name","population","geo_type","geo_value","abbreviation","full_location_name"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.01,180.561406806564,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.025,209.924210920903,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.05,235.177842342522,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.1,264.293662030881,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.15,283.937967346954,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.2,299.550638475017,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.25,312.944920124297,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.3,324.973399013028,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.35,336.119577305142,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.4,346.696210517206,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.45,356.929225552256,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.5,367,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.55,377.070774447744,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.6,387.303789482794,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.65,397.880422694858,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.7,409.026600986972,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.75,421.055079875703,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.8,434.449361524983,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.85,450.062032653046,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.9,469.706337969119,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.95,498.822157657478,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.975,524.075789079097,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-07",25,4,"wk","inc death","2021-01-02","quantile",0.99,553.438593193436,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.01,262.000899867975,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.025,288.144623529715,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.05,310.629668172298,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.1,336.553484615493,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.15,354.044160496122,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.2,367.945195220336,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.25,379.871045242111,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.3,390.580827145553,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.35,400.50503615566,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.4,409.922140015737,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.45,419.033296983616,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.5,428,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.55,436.966703016384,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.6,446.077859984263,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.65,455.49496384434,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.7,465.419172854447,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.75,476.128954757889,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.8,488.054804779664,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.85,501.955839503878,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.9,519.446515384507,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.95,545.370331827702,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.975,567.855376470285,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-14",25,4,"wk","inc death","2021-01-09","quantile",0.99,593.999100132025,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.01,121.58249567241,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.025,166.848788096353,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.05,205.780296825771,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.1,250.665833065568,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.15,280.949891271997,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.2,305.018700710285,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.25,325.667596080906,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.3,344.210942304664,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.35,361.394116092002,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.4,377.699267669957,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.45,393.474690519612,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.5,409,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.55,424.525309480388,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.6,440.300732330043,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.65,456.605883907998,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.7,473.789057695336,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.75,492.332403919094,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.8,512.981299289715,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.85,537.050108728003,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.9,567.334166934432,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.95,612.219703174229,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.975,651.151211903647,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-28",25,4,"wk","inc death","2021-01-23","quantile",0.99,696.41750432759,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-20",25,4,"wk","inc death","2021-01-16","quantile",0.01,194.780681513437,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
"CovidAnalytics-DELPHI","2020-12-20",25,4,"wk","inc death","2021-01-16","quantile",0.025,225.683883009879,"Massachusetts",6892503,"state","ma","MA","Massachusetts"
