"model","importance","wis","dispersion","overpred","underpred","0.01","0.025","0.05","0.1","0.15","0.2","0.25","0.3","0.35","0.4","0.45","0.5","0.55","0.6","0.65","0.7","0.75","0.8","0.85","0.9","0.95","0.975","0.99","target_end_date","location","target"
"CovidAnalytics-DELPHI",7.85,25.7034205631804,17.0757325294732,0,8.62768803370713,180.561406806564,209.924210920903,235.177842342522,264.293662030881,283.937967346954,299.550638475017,312.944920124297,324.973399013028,336.119577305142,346.696210517206,356.929225552256,367,377.070774447744,387.303789482794,397.880422694858,409.026600986972,421.055079875703,434.449361524983,450.062032653046,469.706337969119,498.822157657478,524.075789079097,553.438593193436,"2021-01-02","MA","4wk ahead inc death"
"UMass-MechBayes",-17.04,224.340869565217,93.5582608695652,130.782608695652,0,215,273,317,395,453,507,548,600,644,690,751,802,860,911,975,1054,1147,1255,1376,1533,1739,2019,2222,"2021-01-02","MA","4wk ahead inc death"
"USC-SI_kJalpha",-4.1,86.7468561329457,45.9148486836974,40.8320074492483,0,158.954908502666,268.195649243419,322.277619031249,339.200172199556,367.767130724901,387.119529214042,419.104064058233,458.510464058235,478.269064469878,521.146692161104,562.037800918905,593,626.14112708139,650.031939638422,665.597256511065,696.510464058235,706.701366369943,719.088777311247,795.667240784164,894.510464058235,900.891619672155,906.303010871259,935.224100421879,"2021-01-02","MA","4wk ahead inc death"
"RobertWalraven-ESG",12.04,103.457117391304,2.78276956521739,0,100.674347826087,268.36,273.15,277.27,282.02,285.22,287.77,289.96,291.92,293.74,295.46,297.13,298.77,300.41,302.07,303.8,305.61,307.58,309.76,312.31,315.51,320.26,324.38,329.17,"2021-01-02","MA","4wk ahead inc death"
"COVIDhub-baseline",11.78,75.6081238280209,43.4695977471079,0,32.138526080913,0,0,0,0,40.1624156241564,92.9037180371806,138.273127731277,175.49685796858,206.674573245733,232.730576305763,255.919060190602,277,298.329562795628,321.372834728347,347.33800788008,378.866544665446,416.030690306903,460.121400214002,512.934221342214,576.349619496196,690.987008370084,798.144673446734,917.900927809276,"2021-01-02","MA","4wk ahead inc death"
"Karlen-pypm",-6.74,177.141782608696,29.6200434782609,147.521739130435,0,403,441,470.9,518.9,546.9,574,589.8,607,626,647,663,676,692.5,716,739.4,755.3,780,807,835,872,927,985.1,1052.3,"2021-01-02","MA","4wk ahead inc death"
"SteveMcConnell-CovidComplete",-7.36,114.142173913043,69.5247826086956,44.6173913043478,0,294.5,295,310.5,341.6,372.6,403.7,434.7,465.8,496.8,527.9,558.9,590,652.1,714.2,776.3,838.4,900.5,962.6,1024.7,1086.8,1148.9,1180,1180.5,"2021-01-02","MA","4wk ahead inc death"
"UCSD_NEU-DeepGLEAM",1.27,62.175006404727,11.9084164285195,50.2665899762076,0,379.825847152435,410.572622970306,426.29540605899,444.414041808807,456.692786697112,466.376024535857,474.761508849822,482.248548415862,489.186538413726,495.775133231841,502.114160064422,508.403273299896,516.173030652452,524.004452745902,532.144198543818,540.715597527988,549.965308661983,560.324985132059,572.28794486536,587.457471125113,609.841772069383,629.266165450774,667.251645841051,"2021-01-02","MA","4wk ahead inc death"
"BPagano-RtDriven",6.62,15.0455461565217,13.6980957217391,0,1.34745043478261,249.0016,271.07974,290.81644,313.92746,329.62189,342.12619,352.86751,362.52084,371.47033,379.96506,388.18528,396.27584,404.3664,412.58662,421.08135,430.03084,439.68417,450.42549,462.92979,478.62422,501.73524,521.47194,543.55008,"2021-01-02","MA","4wk ahead inc death"
"Ensemble.all",NA,53.3110941666996,36.3947275146974,16.9163666520022,0,238.800418051296,271.324691459403,294.470811936973,322.150592893249,348.433576710347,373.394011140233,395.601236751514,418.718901050634,438.028898159387,459.63040802399,481.690614080687,500.938790366655,525.232321664135,548.729959621718,573.171248403313,600.940005248738,629.835179468281,662.085557131366,704.654581071643,757.106456960963,815.270866418789,876.415730983096,933.481705251738,"2021-01-02","MA","4wk ahead inc death"
